STATE/UT,CRIME HEAD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Madhya Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1078,929,684,752,742,721,749,756,712,591,790,808,717,759,900,869
Maharashtra,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2042,1569,1700,1453,1081,1368,1903,2714,14622,18979,14590,463,495,470,804,1365
Manipur,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",45,34,28,16,38,36,69,109,124,140,91,130,159,115,75,65
Meghalaya,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",15,15,10,19,8,12,17,32,26,30,47,16,16,11,14,24
Mizoram,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",36,35,27,97,87,69,155,194,118,96,105,43,74,122,212,89
Nagaland,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",100,69,86,95,118,78,39,84,72,78,58,217,259,117,142,143
Odisha,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",149,107,114,97,108,170,226,364,353,516,548,116,107,111,123,97
Punjab,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",4861,6112,5056,4421,5508,5464,10220,14654,14483,10159,5906,2231,3405,3545,3226,4464
Rajasthan,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1026,912,1087,1029,1165,1241,1115,943,823,883,1246,705,675,712,856,973
Sikkim,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",19,13,12,4,1,2,3,10,3,1,3,7,4,4,3,6
Tamil Nadu,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",3161,2501,1967,1736,1467,1417,1402,1511,1413,1522,3424,4237,3661,4227,5916,4390
Tripura,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",73,55,45,53,43,41,43,91,102,72,55,9,12,17,23,81
Uttar Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",11353,10885,14142,14278,12953,8496,6755,6039,5742,6094,6834,9916,9979,11320,9330,10283
Uttarakhand,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",461,380,280,392,342,244,297,390,252,411,628,297,331,346,258,367
West Bengal,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",591,752,765,555,790,761,886,981,1158,1292,1428,506,493,452,399,485
A&N Islands,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1,22,28,37,25,12,4,13,30,16,21,0,4,1,2,3
Chandigarh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",181,144,91,71,48,53,68,101,137,173,144,39,47,65,89,164
D&N Haveli,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",0,0,0,0,0,0,0,3,1,3,2,2,1,0,1,0
Daman & Diu,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",0,0,0,1,0,0,0,0,2,1,1,0,0,0,3,2
Delhi,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1494,1133,591,299,197,1127,829,442,322,277,297,622,749,1150,1237,1410
Lakshadweep,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2,2,0,2,1,3,11,7,17,4,5,0,0,0,0,2
Puducherry,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",2,1,2,3,2,6,6,1,1,2,3,3,1,0,1,2
INDIA,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",31044,29831,30645,29401,29576,25785,29247,34668,46923,50796,49256,24377,25279,27913,27608,29421
Andhra Pradesh,"GAMBLING ACT, 1867",41488,62035,43775,56610,53482,51816,30664,21498,13994,5818,17097,33865,42750,32600,36258,37022
Arunachal Pradesh,"GAMBLING ACT, 1867",0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0
Assam,"GAMBLING ACT, 1867",81,137,114,69,39,67,82,63,152,149,301,103,176,148,138,135
Bihar,"GAMBLING ACT, 1867",242,127,152,262,200,210,211,308,259,217,336,174,148,191,153,222
Chattisgarh,"GAMBLING ACT, 1867",10833,10847,9071,7389,7810,7345,8756,8499,9324,11287,10363,6934,7754,10373,11631,11063
Goa,"GAMBLING ACT, 1867",1286,956,617,568,570,596,530,502,532,1251,799,1238,1211,1334,1471,1365
Gujarat,"GAMBLING ACT, 1867",8248,8568,8247,8229,9017,9042,9427,10411,9973,11173,10992,7850,6796,8083,8468,8849
Haryana,"GAMBLING ACT, 1867",6406,5802,5467,4683,4417,4008,4138,4263,3674,4729,4578,5962,7159,8617,8186,6862
Himachal Pradesh,"GAMBLING ACT, 1867",531,354,356,351,320,251,218,195,297,302,294,314,412,563,638,566
Jammu & Kashmir,"GAMBLING ACT, 1867",163,176,152,130,79,146,165,115,175,156,116,72,134,137,126,149
Jharkhand,"GAMBLING ACT, 1867",156,118,95,118,137,102,153,99,73,117,134,75,112,126,112,193
Karnataka,"GAMBLING ACT, 1867",7167,5907,5073,5817,5930,7024,7161,9163,10008,9993,10529,6180,7162,6900,6708,7245
Kerala,"GAMBLING ACT, 1867",1726,1769,1975,2659,3257,3601,4496,4394,3810,3691,3556,2052,1822,1649,2167,2561
Madhya Pradesh,"GAMBLING ACT, 1867",32390,28111,26284,19896,19768,20769,22918,23203,22050,22618,24299,23037,30295,31449,31239,34759
Maharashtra,"GAMBLING ACT, 1867",17195,16508,12243,11589,11986,13296,14704,15743,16637,20171,22991,23897,24456,27254,21331,17647
Manipur,"GAMBLING ACT, 1867",2,5,2,0,0,12,8,13,6,29,28,8,24,9,10,1
Meghalaya,"GAMBLING ACT, 1867",8,27,32,14,8,5,13,16,9,4,3,30,11,13,6,15
